,account_name,user_name,followed,s_follow,s_follow2
73,窮地を回避／神秘体験／テレパシーの間,kyuchiwokaihi,"2023/3/14,eito_sns,3/7,yasai_datta,2/24,aisu__diet,12/8,ujicyan,11/8,m_yasakajinja,10/29,wakakusa_inari,9/2,FUKA18fuentw,cocoronicotoba,8/24,EZd70,8/4,totody4,7/13,weWIq97qvSSReKH",masa_counselor,
258,レムリアの光／太古人類は光っていた,rSO7YoCLnlMed44,"2023/3/18,KanamiTsuno,2023/3/14,76together,3/8,soraplaza,12/24,gwZXezcxeeM9lki,12/10,md7gjtpz,7/28,flower_railway",yumecoco01,
388,宇宙人アルケス,CosmosAlkes,"12/2,11/14,nearr_aaccount,9/19,williamrainen",,
319,宇宙人セドナ,CosmosSedona,"3/8,Horus330,11/30,haregasukii,11/8,sabotage1113,10/27,kamitonotaiwa_,7/16,MD_BLACKmd7",origamicat,
104,宇宙人アンモライト,CosmosAmmolite,"2023/3/14,04e733ee880147a,3/7,life01022909,1/9,hsp_therapist,9/15,moroi_ao,Shirousa_uto",mayuyu9728,
241,宇宙人フルオライト,Cosmosflu269,"2023/3/21,hs8w10,3/7,nanagoro_rhbr,12/2,gShPgGNoooFEXA2,11/18,hsshspKako,11/16,Mr_Scary_1224,10/13,Stm_Artaroma,8/8,sekai___fukei",suzu0358,
350,アケク,akeku528,"12/24,kyototime_jpkyototime_jp,10/31,kagurahikaru",rennai_jouzu,yukarikokoroful
265,ヒーリング好きの外銀OLちゃん(東京都）,kXEd8hpLDYVH,"3/11,shokoieda,1/28,zikokoteikan_,12/21,temple_jokohji,12/19,sayaka_0777,12/16,yuumakamama,12/7,sanjo_oV,11/14,axcel0901,9/2,sanjo_oV,8/30,yorozusoudan7,8/24,natsuokachiharu,ogawa999411,8/20,sanjo_oV,7/5,gettyblogg",weekend_dorobo,
199,セクメト｜Sekhmet,ngaKh7Wb,"3/7,yurie7788,7/26,zibunwosukiniA",pilgrim0721,lovehealingch
70,宇宙人シェアト,CosmosSheat,"2023/3/22,uma_fortune,2023/3/14,ichigoshujun,3/8,daijujitemple,12/1,tsubomihar,11/30,OZtrasis,11/14,coloku15,10/31,W1g0JfoieLroCBD,10/22,iPnm9UWys5Em5iX,8/2,naniwanokakusei,7/13,KatoTadafumi,djtmgdw",Happygooood2944,
281,零点ライトボディのアクティベーション,ferhypfx,"2023/3/21,milin_333,3/6,Yumi_57,12/12,fiftyfox50,11/14,JunkoY33333__,kaicho_order,7/28,mamaconno,6/9,JunkoY33333__",roseno10,
192,玉城のえる｜受けないと苦しむ黄金のヒーリング,Y7YOB6OxgWQa,"3/7,solaritaservice",sinnosan1123,seirei_aki
202,宇宙人クラテリス,CosmosCrater63,"7/13,neontetora555",AwakenedJapane2,e_photo_studio
145,FullDisclosure｜細胞を修復 記憶力ＵＰ 松果体を活性 メラトニン分泌 老化防止,J3WmySwOEXPi,"3/7,_miwa_akihiro,12/5,kanaoda74,11/14,sa0choco",shironeko_7para,hirokim21
242,宇宙人イオタ,CosmosIota,"12/12,suruganojii,12/2,fuginomiyasama,suruganojii,11/17,susajinjya,11/14,sayako_shrine,10/14,belpia6030,7/27,NtHbwy0mAcn9T5b,omikucchan,yakumaru_kun",otochan_uranai,XblIijLk69IX7CE
293,宇宙人クサイ,CosmosXi639,"2023/3/20,bluevioletsada,2023/3/14,ponchan_yutori,3/8,yuji_ikegaya,1/9,QgD61sK81TcPm4f,11/18,kamino_mihou,11/14,sakuna_2,10/19,yocchan_uranai,9/15,sanaemurakami,8/23,shimamura8888,8/18,shunsukefuruno,ZiT2hKAZ04rtqOW,8/2,uranattekiyoko,7/3,blueflame_bot",saku_uranaiya,
200,第４チャクラエネルギー封入の間 傷ついた心を癒す 心のヒーリング 心の安定 幸福感 カリスマ性,GodfrwRobbin,"2023/3/14,laviy_photo,7/28,Sakikoloveall337/3,wy0o5",merukaku,
96,神氣・天眼・神通力／天内れい,lagging1977S,"2023/3/14,tokitabi_blog,3/7,kyoto_gooujinja,12/1,Match_Books,11/28,kuri_sss303,7/28,amrita_tweety,hiyoko34778556,Match_Books",masa_6300,
348,宇宙人アクベンス,CosmosAcbens,"12/30,SaunaLico,12/5,takayan_kokoro,12/2,Michael97024561,yutarot88,10/28,usuki_hachiman,10/14,suncareer2,Aoboshi_Hari,hanazo7,8/13,matsudamihiro,8/3,koba_mukasshi,disclosures_jp,7/30,AKB68BABAA,7/15,Bir30Satoshi",norisnoris2,yukiyuki3yuki
259,アポピス,Apopis68,"8/8,horsesthelights,Homie00980015",dr_catwhisker,higuchimasakazu
286,Dr.伊勢谷〜コスメティックヒーリング～,97Pxj4MyoMH3,"12/26,hukuen_megami,12/16,takeda_bishi,12/7,nj4a7Eb7pGAGHm7,11/14,nyankomisaki",mihotoke_chan,izuena11
386,DNA活性化／レイキマスター／サイキックプロテクション／karo,ngocbachnguyen,"12/1,WDOWe5O2A14FyZY,11/14,ASD_ELEGANT,2，",,
248,ベンヌ｜Bennu,o1cEbnHW,"12/16,ryugu_tamayori,9/27,miimiistargazer,9/17,PPosaune3,8/17,52GoldenAge,8/11,Owari7No,7/26,mainichi_unsei1",uranai_shishiza,assy0209
311,空の包摂｜西洋汎神・東洋縁起,YFlhtXuaq3Bh,"3/12,zeusu_sub,3/8,soubi_rose",misakominami,
103,縁結び・縁切り,Matchmaking123,,w3SiHRMgXh2Pt8e,pakuchaaa_
217,プタハ｜Ptah,pdI1oMLU,"2023/3/13,hirotophy,3/8,s_i_s_i_n,12/31,positivediary312/9,yukichoko_,12/2,11/22,IakemiH,11/11,bluesea0704,10/19,mithrilweb,10/15,asumisumu11,10/11,HAL_mind,10/7,yukiloveangel,10/3,fukusuke1008,8/25,stelladesu,7/13,aika_nishihara",masatakatze,
93,アンドロメダ／ANDROMEDA,bJdSU7GU,"3/8,QueenARZ,8/3,hiro_meditation",yama_hsshsp,
294,タウエレト｜Tawaret,Tawaret21a31,"2/20,3Bo6iY3pdLOHvMl,8/2,ZPXg3De1KZP3O9g,7/30,xrBY5gsRJXZEUh5",marke_advertise,arakihisako
176,クヌム神,KhnumGod,"3/7,yumeka1251,2/10,kazunari1507,1/30,asawako319,7/23,MW822i,BrsDYNsJTKzD9PT",saso_unko,ts19780322
257,絶対開運・कृतज्ञता｜気功・ヒーリングharuka💗,haruka_heal_77,"3/7,amxhrssg,12/20,KONOSUBA_BLUE,11/17,boardman199997,10/30,higuchimasakazu,9/6,katiuma889,8/3,kisyo_kudoku_22,8/1,ohmiya_a_photo,7/13,kaiun69",hikaruganji,Aosaki_0826
254,ギザの繁栄、成功、病氣の治癒,saopon0624,"2023/3/22,kaburagi_kco,3/7,oz_dot,12/7,2qrJcJ6RCG3VHzz,10/19,cororo5555,10/11,spiritualmaria7,9/13,stvo_k,9/8,HR_take_action,9/2,eringinakaji01,8/30,2451youyou,6/6,yuru68968658,7725rirarin",gerogeroR,
118,宇宙人ホープ,hopecosmos235,"2023/3/21,0424kikumon,3/7,RealAsperger,12/12,rirarinrin12,5/26,rirarinrin12",7000sal,
57,月収３００万へ導き〜苫米地式コーチング～神法／太陽神経叢／マスターヒーラーあい,m2JkYcw9PPhK,"3/7,unferos,12/1,smark_affiliate,8/11,fortunetell_mio,8/1,Lehman33339923,V8pLxRX9guWjZzR,7/27,mahounana168,astromao8,shimizushiira88",Akane76888433,redpino346
271,宇宙人ジャスパー,CosmosJasper021,"2023/3/12,inaina2121,3/8,sayakauranaishi,12/15,Yura10moon,7/29,purposei168",morimotoshoji,
142,ホルス(Horus),Horus96341,"2023/3/12,koyotoi,3/7,703_anny,12/12,gyokulan3333,6vhat18z5vlsk1J,9/17,efcharisto3,9/8,tempanda_jp,7/31,yuiiro95",kao_hike,
231,密教気功｜七福神の絶対金運／チャクラフラッシュ～甘美渡aki（かんみどあき）～,OjVRjChR7bIq,"2023/3/18,ken2_buppan,3/7,ytnm_3121,12/29,cyabbgb,12/10,datdweet,11/24,Rin_sakiyama,7/30,FlagoraNakayama,kairi0_0x",yamagatakumano,
88,天使からの贈り物｜無償ヒーリング,dVWwnddkew6587,"3/7,58atsushi0426,2/20,lkArKqLzAvYbkv5,7/27,dokutyandaaaaa",jungo_FanMarke,burubur56030897
61,ブロック解放／多次元レベルでの解放ワーク,MaryjaneCrumf,,noravoxs,1952oyaji
394,宇宙人ニュー,CosmosNew019,7/28.evanzel0708,,
308,宇宙人ケバルライ,Cosmosceba117,"2023/3/20,kazemichi2life,2023/3/14,marina_merkigyo,2023/3/12,hirametai,3/7,kashima_jingu,1/27,homuraakemihomu,11/14,2020kimi,9/6,buddismyuta,9/3,MAG__writing,9/3,siawase17",sangenshabutu,
112,宇宙人シェリアク,CosmosShelly963,"3/7,saiyoking",7kg3g5a4JO1l0Y8,queen_tomo3
276,可能世界ペネトレーション超時空因果再構成の認識と意識,Penetration21a,"12/28,9YUPmHxdkAMqc4f,12/2,9YUPmHxdkAMqc4f,11/21,Arundel_shop,11/14,xo0wazAknNiVEYI,11/9,hbssPYaQq5LW9f9,9/11,pxreina,8/1,Tokiuku78",mokomoko_hsp,nattu_investor
160,絶対奇跡の間／神秘的な体験 過去の罪、恐怖からの解放。,zettaikiseki,"2/28,mimineko_0406,12/21,eboli_ef,12/20,mimineko_0406,12/5,kpwozvnIN6RDhpJ,11/26,iAqvCfK9EOr3jJl,11/14,makiko_photo,10/1,shironekomofumo,9/3,jinjabukkaku,8/30,soccer991,7/13,GxGGjjJl0VNh2e8",kanzakimomoko,pri70892395
89,異次元世界を知覚〜天眼神社～,VFj1CEXCMwjt,"3/7,snow3999,2/10,1129bruce,10/31,kurihara1975",axis358yas,Maku_ring
211,アヌビス(Anubis)｜死者の守護神／死者の眠りと来世を守る,AnubisGod357,"2023/3/14,kotobakatachi,9/8,deco358,7/28,nuoo15gjwdg,qdNjJx76OvlNZeh",reonuranai,
119,宇宙人ミンカル,CosmosMincal465,"2/28,ayaka_obara614,2/20,kaminari0429",motehenwa,yamato_122416
105,サンジェルマンレイ（セントジャーメインレイ）／SAINT GERMAIN RAY,PpkBb0KZ,"3/7,HNcsfp,2/16,acky_happy,12/9,takubomay,towa_lms_,10/17,orange2210_libe,asakusajinja,10/15,XRktJy1YSirGexr,8/12,mahounokikikata,psypsytuki,7/28,watanabiman,gandhi_house",nanase_free7,djaoi
114,宇宙人ヌンキ,Cosmosnunki951,"3/7,kuukansugoi,10/16,sigekiti_takata",kumomanokanata,tarchannet
341,モントゥ｜Montu,montu21a56,"2023/3/21,ariorihaberi_im,3/1,yasulog2,8/1,waccel_academy",alpha_movie01,
247,ゴールドレイキプログラム｜ओम्,cpmndzus,"3/7,sps823n",Sorara1212,takako39a
115,多次元エネルギー〜Sekhem（セイキム）～,wqUjFCWsXqi7,"3/7,yukinoko811,9/6,s_u_2525,9/6,IkukoiB,8/02,njApKekhi8Hjp1R",Yuichi_Hosoya,gajumaruu_s
144,千手観音の念／浄霊 開運、邪気払い、恋愛成就、真言アストラルテレポート,xuckpgdr,"1/31,supire333,12/21,9HZF2xSQ7B8WPLS,11/11,camelliakyoto,11/3,fujinohana0422,9/7,IguKyo,8/12,meguru_homeren,yakuyoke_kaiun,7/13,DREAMER36599413",yuhi33xx,ELwUI0UFKEzIJdK
345,宇宙人アルゲティ,CosmosAlgiedi74,"2023/3/14,makoto_shuukan,3/8,Bopepo1",uranai_kuroneko,
131,宇宙人カェリー,cosmoskaley134,"3/7,yukoegaomaker,9/15,yukariATL",paranporon_,kusapooh
277,宇宙人ビックス,cosmosbix1,"3/8,this_is_hotoke",AtoRie_11,
206,宇宙人オパール,CosmosOpal851,"3/8,mi_ji_me,7/28,tninnaka",kkmslgm0226,
113,宇宙人アクィラェ,CosmosAquilae31,"3/8,komorebi_daiki,7/31,wQ68I63TqMJ8s3K",FactoryLuna,
109,アンタレス・アルデバラン｜ANTARES / ALDEBARON,RBOT80773283,"3/7,kosan_055,7/28,temper_SK8,tsuyuki369,miyakouranai6/9,miyakouranai",2N4mVNdiRGiGhbw,CRSpkBgM8tYkliS
333,宇宙人トルマリン,CosmosTourmali,"2023/3/14,osmic9394,3/4,ooya_jumasy8,12/28,yoshi_koumuin,10/8,TOMMY19989353,9/6,kokoro_express",Shukatsu_0707,
260,宇宙人ドラードゥス,cosmosdorados,"2023/3/21,adhdsavetheplan,3/8,uranai_kanizaa,9/25,urara_hoshii,9/20,ao_kawakami,9/14,ryoka_sei,9/6,Kazuto_mmm7/30,i12051205,y92953732",craftsman207,
297,宇宙人ミクロスコピ,CosmosMicroscpi,"2023/3/22,luciferz0730,2023/3/14,izumiyukako,3/7,chikio_NMP,12/20,yano_mktg,NKM20200921,8/27,yunaburai,8/23,aun1368,8/12,Koikichi_K,omoi_sakebe,8/1,uryuzy2,MMRtZfEwHMzuGqq",ma510_happier,
213,自在観時空マニフォールドと空なる視点の構築,skymanifor951,"2023/3/22,hiroko_o_photo,2/3,lCoSr2gYgY5MjUF,9/3,fumifumi0977/31,LR_prison_brake",hidehiro_yuzu,
149,アケル,Akeru406,"2023/3/14,corosuk8811,3/8,serotoninmoreko,11/22,Shanice79540635,7/28,tm230405,oM4MPkb5I75QZO9",momoirousagi88,
229,宇宙人バナト,CosmosBanat156,"2/20,rei0627_a6400,2/13,lovekrtekajezek,12/20,rei0627_a6400,9/6,kei_bookagu8,9/6,AyumuSales",Aosaki_0826,mkestyar
306,宇宙人ベルデライト,CosmosVeldelite,"2/28,mooboocock,2/3,shiraishi1taka",Kronos_ikemen,yutaka_account
384,シェヘブウイ神,ShehebuuiGod,"12/7,toku3_jibunjiku,11/14,CaptMurasha,10/31,6got_fuuta,10/19,beer_mochi,10/14,ZrfYT2hGtb6W3UA,9/20.yasusea3,7/3,nX7z5nzv8ycwMGE",,
263,宇宙人サファイア,CosmosSaphire46,"2023/3/14,piyopiyostory1,2023/3/13,yutty_nanpa,1/12,takasanvoice,12/21,kaiun369,12/2,AkagiKanun,11/26,shimogamosalon,10/29,ruu_fight,10/9,wcs_lead,10/3,JUfIc9lLuwr3sJP,9/27,1227kazahana,9/3,legaprand,7/31,ikuradesign1375,7/29,Yui_sns_31",themoontokyo,
184,女神の帰還ヒーリング 🐬 イルカ,megamiHealing89,"3/7,kikubaribijindo,2/20,shakekanwel,7/31,so_omori,angelontree",rascompany__,akpapa_family
194,宇宙人シェダル,CosmosShedal857,"3/7,new_rakuen,7/29,Kazu_Prayer,carol_since1971,Mojalaki",Tatarianaster_7,nagasakikanko
338,アピス,apis174,"3/7,kazusan333,12/1,kamo_afuii,11/22,aoi_monetize,9/1,Genkideyosi1007,8/29,fruitscookiepie,8/11,LatinCartier,7/29,umidaisukisas",sora_mentor,takehito_miya
387,Wealth 超金運エネルギー・オメガ永久版 金運アップ,wealth21a,"7/31.MJKconsultant,7/29.CobraThePortal,7/22,hii29227409",,
56,【恋愛・結婚成就】苫米地式認定コーチ｜虚空蔵菩薩の真言／ओम् Aum(アウム)／星野ゆり,LinaKidd18,"2023/3/21,yukarin808,2023/3/14,Zu9NOVuF1QYtlCc,2/20,raka56808441,9/8,autumn_moon47,9/7,dGMNkFT3bQeLcYs,7/5,I9NI6P2Y5R8WLnv",klilyn02241,
128,広瀬＠ネオヒーラー,HirosNeoHeal888,"12/20,lovemailofoz,___p98,9/25,sunplaze333,9/22,Elimin2525,7/31,hokkorikazumin,7/28,hokkorikazumin",ri_ri_ri_ritan,boku_lifehack
283,カバラ洗浄／プロセス加速ヒーリング,CKruegerbz,"3/7,49kuukan0517,2/3,Bj2zH,1/31,8383_mats,1/12,y5G4bBKR7XDuY9d,12/2,eiji_imaoka",mofumofu2021_11,PONTAMAO
95,DNAレイキ,DT7jqoDN,"12/3,choshiryo,11/19,nagiseikatu",mar_snaps,Trans_Blue0630
343,アシュターの波動／５次元へのアセンション,BDominiky,"2023/3/22,yuki8marketer,3/3,uranai_musubi,2/10,hachapin2,1/31,fucchi_bachi8,10/19,saiko110420022,9/27,SakitaShiori",yukiyuki_kiryu,
249,宇宙人グロシュラ,CosmosGro658,"3/7,KashimaMashiko,11/1,megumu09418486,ujikeshuta,10/10,Caferoseclair,10/7,ujikeshuta,9/24,megumu09418486,7/23,nsPHpUeM3jnlTD6,pipapipa_himori,fODxjjbnlquab0p",daicho_polaris,mita3_
187,Brain IQ10兆エネルギー永久版。一生何度でも受け取れる,iq10trillion000,,onnajite,EZJapanese
274,絶対開運・रात｜気功・ヒーリングmaya🌙,maya_heal_77,"3/7,mj_yzf,",1059kanri,Yasuyukimatui
90,宇宙人アルゴル,CosmosAlgol945,,ac4ljkd,hachimitsu2022
344,宇宙人アルナイル,cosmosarnile,"3/4,teramikochannel1/27,michi_uranai123,12/14,Omapro528,12/13,mana_advisor,12/1,ryufreelife,10/24,mayan_study,10/19,BurikiIndolence,10/13,wakana_macchari,8/1,lQZp1g2X9NSEbA8",kxz99ttyu,etokyojam
152,神氣／全チャクラ活性／特殊エネルギー｜心香 リオ,shinkichakra,"3/7,hanacotoba_jp,12/2,2QiyjN5eBLyZpzd,HkniTPWgoBo4l53,11/22,mihokopoco,11/22,kiko3305,7/28,louis_is_______",FxRumasan,2no2no06170515
246,無償ヒーリング｜ギャラクティック・スーパーウェーブ,Xx2VfWgqKGiX,"3/7,riko_04photo,7/16,yumecoco05",okatsu0713,saso_______unko
284,チャクラの目覚め／前世の映像／妃水ねる,chakuramezame99,"3/7,hanamar79700561,10/20,VieDiamant,7/30,59hika",nakochinu,eki_no_mokuroku
193,マザーシップ覚醒特殊エネルギー〜自己構成エネルジーア自律知能化と生命素粒子,mrddbbam,"3/7,mgb1717,9/4,nonoko1515,9/4,Sherpa_KamoYuki,7/31,daisuke12w",2opHmazhbjjHvho,eiseibunko
288,宇宙人アンタレス,CosmosAnta4785,"3/8,mokojiinosu,2/10,jack_cho_bot,12/29,zaki_invester,9/3,hbssPYaQq5LW,1706Hii,9f9,8/12,sid_vi_wing",dojochogo,
298,β-エンドルフィン活性化養成スクール／天才の脳波/記憶力ＵＰ/うつ病治療/老化を遅らせる/免疫細胞活,goldenage963,"3/7,nanachan3168",isejingu125,mattya_melon
82,宇宙人スコルピィ,CosmosScolpy54,"2023/3/15,b0e36ab4f861483,10/22,ih0701chibi,10/13,tesschiy,9/14,takane76639385",maki_213_,
251,宇宙人コマェ,CosmosComae,"12/10,yoshi1204no7,5/26,DenTaichi",saya_CRO,DenTaichi
295, 【オンライン苫米地式コーチング】明視、神通力、霊的な覚醒／スターシードayumi ओम्,ayumi_jintsurik,"12/29,h_yamamoto060111/6,alanmccormick559,7/5,Mm73810619",yuukipositive,YukiSubsc
66,宇宙人ナディ,CosmosNady,"3/7,uru_happylife,2/28,As_above_So_me,2/2,yamapirokichi1,12/30,HIKARI7774,12/5,maiko378378,nurse_hal,11/28,shippko,11/22,mana319_TAKESHI,6/9,mana319_TAKESHI",mamarin00,yuitarot
154,宇宙人シャム,CosmosSham122,"3/7,SeijiSabi,9/7,andante_2018,9/6,BluedragonMasa1,7/26,challenger2003,DonationEvery",ai_m22222,nekomarukoharu
332,宇宙人ナシラ,CosmosNashira38,"9/7,BFi6f2pbMGdzIw1,9/7,sakana_selfcare,9/6,piyotan0531,7/30,kuromaru9602022,die_0_2",Kanna_Imfree,ak_o114
456,宇宙人ナシラ,CosmosNashira38,,,
301,宇宙人タニア,av_your,"3/8,gin_sneaker,9/7,ysk_detox,9/6,v1vfWiQcOnLrNzN,9/4,mom_ac_hearcure",tutaetaikotoba1,
127,ブルーレイスターシード／カルナ（慈悲、慈悲の行為）のエネルギーに繋がる,kaylapaulqwvy,"9/21,fortuneapp123,empty_glass15,7/22,crystalray7777",namutyan,mental_0815
322,空の理解と体得,Soranorikai,"3/7,miya_freelance,12/10,yattarou_shingo,10/1,USj06,8/3,chiko030828",ayapan_0510,andore_prince
235,第十感の閃光／サードアイ活性によるインプラント除去,TG6Ab3PjO6KN,"3/7,tsushimacat,9/28,Atom_aiai,8/2,XIZ3Te42NA7sJTR,7/22,wjproducts1,namejug3,TOYU_morikawa",eiji_biz,ii_museum
100,除霊・浄霊・ओम्／奇跡の神社,Jennife52321867,"2/28,mofmof_biz,12/10,PEhwuhVL3oHNQQu,11/22,masamune_free,8/29,fumika33113376,8/13,mentalcoachaoto,miwa_3739,8/11,ctzWibayy2RQtJN,7/28,eshunshomyoji",spihealing,tyuppi0
324,アーンティト女神,angelarnti5444,"3/8,s_sadsm,12/5,70days4f,12/3,SmileSmile_JP,12/2,s_sadsm",Ai_Ktdm,sakura_jingu
155,女神の帰還ヒーリング ✨ 🌹｜ イルカ 🐬,megamihealing,"2023/3/14,mitsuya_0903,2/16,Framboise_305,12/29,yamotomahiro,12/8,EQNWEjWWoYq0Gxk,10/31,sanrin_hikiyose,9/5,astrogeometry",saorin0212,
269,宇宙人ボーティス,CosmosBotis,"8/11,penmaru_1010,8/1,sasuraino_rapi,your_moon_tarot",ykm_ksn8,Aki8ma_3
287,第八感のマスター｜カンサチャクラの発動（青い金の光）,K7PzhYDoLynl,"2023/3/23,aogoshuin,3/8,nakashima001,12/2,zekkie_0311,9/8,shun_chan20,7/28,motonoshymiaka,HSPlovershouse,nekotokotetu,6/9,motonoshymiaka",Love_yellowhat,
385,マアト｜Maat,I1Rgd6eB,"9/16,motoyassr813,kyuyakuyobu,",,
232,イビス,ibis396,"3/8,ReiTS14,12/24,thistlebluemoon,12/7,gosyuintaro,10/24,hagi880,10/19,mizuame__photo,8/18,waonm07",oofunakannonji,
186,宇宙人アルタイル,cosomosaltair,"8/1,TakefumiKimura",takavet1,543life
188,宇宙人クルキス,CosmosKulkis111,"2023/3/21,15_uranai,2023/3/13,kuu_sumi,3/8,matsuokamayu8",noborutakachi,
76,宇宙人ゲル,CosmosGelyn85,"3/7,kotohanoko,9/3,Masazou21791588,9/3,dokuoyakaidoku,7/31,Rio_0728co",MPpBipKLS5QZ21L,ReikaSpiritual
163,宇宙人サドル,CosmosSadr258,"2023/3/15,airi523ykf56,3/8,Lookintothebox,7/31,poo35466865",AnzaiKyo1,
138,セト(Seth)荒ぶる砂漠の神,sethmac21172,"2023/3/22,Maymei5555",kihonokasi,
391,絶対開運・प्रकाश｜気功・ヒーリングaki🌞,aki_heal_,"9/27.,evilempire528,9/21.,makiaihara,9/7.,saru_kamikaze,05/18saru_kamikaze",,
91,宇宙人サギッタリー,CosmosSagitarii,"3/7,keika_mia,9/16,0707Miyama11011,9/16,teraoka_ganzan,9/8,NjXFI343s9SzE3d,7/28,wakannnaindesun",levinassien,OCSupertones
316,絶対開運・आग｜気功・ヒーリングtomoko🔥,tomoko_heal_,"3/8,daichi_u_",ishinjirou,
75,宇宙人ゼータ,CosmosZeta,"8/8,maemuki_daisuki,5/26,Ameria86922441,Naoto19751",hisurebahana_y,ShogoMiyauchi1
135,宇宙人ポエニーキス,bot71731740,"3/7,kirei_huukei184,12/1,whatmovemyhear1,5/26,whatmovemyhear1",hiyoshitaisha,YXUIRAIH
68,クンダリーニ＠レイキブースター,BMcginniqw014,"2023/3/14,yumi_sns1002,3/8,nanami2go,2/20,ryohin_jp,2/13,pA2rv7F9advpQLr",Happy__smile358,
85,宇宙人アルカブ,CosmosArkab,"2023/3/18,keyplayers,3/8,_pryo_,2/20,jyoukouin,10/29,chijimi2021,8/10,Shindo21557572,8/3,asitanodeai,7/22,hikikomoridas",NoBookNoLife_kz,
94,宇宙人ポラリス,CosmosPoralis,"3/7,wotakumame,9/4,seiseisei_11",F_maruP,wotakumame
330,宇宙人ワンネス,cosmos_oneness,"2023/3/22,mo1stmemory,2023/3/20,Pluto_Te1029,3/7,fortune_5906,12/16,Sara11Sakura11,8/02,mariaaa3210",Ojukenpapa2021,
221,オシリス(Osiris)死後の再生と生命を象徴,VIVA87884751,"11/24,twi_jinjya_,10/19,Casper95259831",anzumaron_twit,fukugyou00
126,神祇官・浄霊・除霊 ओम् お祓い～沙楽(しゃらく)～,Sharaku179,"2023/3/21,Leo_Char_32,2023/3/14,tattin333",Tatsunon09,
111,宇宙人ピスキウム,CosmosPiscium72,"2023/3/20,aika6868,3/7,UKIJCvL2A3BVWCO,11/14,AkihiGFL2022,10/24,Ichiph,7/13,takeshi_zzz",hinanottie,
250,宇宙人タウリー,cosmostawley,"2023/3/22,takamasa_keiei,3/8,Takuya_Kimura20,12/29,yayoi33kuito12/10,koto_sakurazawa,11/8,BeniKomao_Spla,8/9,iiottomezase,7/30,Kotone2021",atama_active,
130,富の器／打出の小槌・富の扉プログラム,MTalont,"9/18,mywordbasic,9/15,WAVEOFLOVEFOR,8/1,vKPo0VMsy1dLcqC,Yukky_2727,tamako_soku,",SH0124g,TheFlowRin
108,ジュワルクールレイDJWHAL KHUL RAY,vr3um6sK,"2/4,kaori_odoru,12/1,lisaco7567,10/27,Sinitai_zamurai",goshinbokupower,mamislow
216,宇宙人フォーマル,CosmosFomal157,"3/7,rotsurechiha,12/28,bibi81160657,5/26,Langenoir_0037,takeyupapa",DaNDVp2i9V1F857,asset_deka
132,宇宙人ジルコン,CosmosGircon,"2023/3/22,mei3_biz,3/8,10hyou,2/20,omikan_ka_san,12/29,take580220110/5,momo_7197178",shiryu_hijiri,
87,宇宙人ケンタウリ,Cosmoskenta998,"3/7,fumu_moku",oosan_wolfpapa,eleven_s_s
238,宇宙人ラヴ,cosmosloves131,"3/7,memo5paper",hisuishimao,pua_sanji
